 ,Label,Area,Mean,Min,Max,X,Y
316,,20.291,255,255,255,6511.261,461.712
317,,20.291,255,255,255,2493.243,466.216
318,,20.291,255,255,255,6520.270,466.216
319,,20.291,255,255,255,2484.234,470.721
320,,20.291,255,255,255,6529.279,470.721
321,,20.291,255,255,255,2475.225,475.225
322,,20.291,255,255,255,6538.288,475.225
323,,20.291,255,255,255,2466.216,479.730
324,,20.291,255,255,255,6547.297,479.730
325,,20.291,255,255,255,2457.207,484.234
326,,60.872,255,255,255,3006.757,484.234
327,,40.581,255,255,255,5081.081,484.234
328,,20.291,255,255,255,6556.306,484.234
329,,20.291,255,255,255,2448.198,488.739
330,,40.581,255,255,255,4130.631,488.739
331,,20.291,255,255,255,6565.315,488.739
332,,20.291,255,255,255,2439.189,493.243
333,,20.291,255,255,255,6574.324,493.243
334,,20.291,255,255,255,2430.180,497.748
335,,40.581,255,255,255,4418.919,497.748
336,,20.291,255,255,255,6583.333,497.748
337,,20.291,255,255,255,2421.171,502.252
338,,20.291,255,255,255,6592.342,502.252
339,,20.291,255,255,255,2412.162,506.757
340,,40.581,255,255,255,6603.604,509.009
341,,20.291,255,255,255,2403.153,511.261
342,,20.291,255,255,255,2524.775,511.261
343,,20.291,255,255,255,2394.144,515.766
344,,20.291,255,255,255,6614.865,515.766
345,,20.291,255,255,255,2385.135,520.270
346,,40.581,255,255,255,3171.171,520.270
347,,40.581,255,255,255,4522.523,520.270
348,,40.581,255,255,255,4671.171,520.270
349,,40.581,255,255,255,5108.108,520.270
350,,20.291,255,255,255,6623.874,520.270
351,,40.581,255,255,255,2373.874,527.027
352,,81.162,255,255,255,3288.288,527.027
353,,20.291,255,255,255,6632.883,524.775
354,,40.581,255,255,255,4148.649,529.279
355,,40.581,255,255,255,5130.631,529.279
356,,40.581,255,255,255,5252.252,529.279
357,,20.291,255,255,255,6641.892,529.279
358,,20.291,255,255,255,2362.613,533.784
359,,40.581,255,255,255,4599.099,533.784
360,,202.906,255,255,255,6290.541,540.541
361,,20.291,255,255,255,6650.901,533.784
362,,20.291,255,255,255,2353.604,538.288
363,,20.291,255,255,255,6659.910,538.288
364,,20.291,255,255,255,2344.595,542.793
365,,40.581,255,255,255,6671.171,545.045
366,,20.291,255,255,255,2335.586,547.297
367,,20.291,255,255,255,6268.018,547.297
368,,20.291,255,255,255,6277.027,547.297
369,,40.581,255,255,255,2324.324,554.054
370,,20.291,255,255,255,2605.856,551.802
371,,20.291,255,255,255,6682.432,551.802
372,,20.291,255,255,255,6691.441,556.306
373,,20.291,255,255,255,2313.063,560.811
374,,40.581,255,255,255,4504.505,560.811
375,,20.291,255,255,255,6700.450,560.811
376,,20.291,255,255,255,2304.054,565.315
377,,40.581,255,255,255,4423.423,565.315
378,,20.291,255,255,255,6353.604,565.315
379,,40.581,255,255,255,6711.712,567.568
380,,20.291,255,255,255,2295.045,569.820
381,,20.291,255,255,255,2434.685,569.820
382,,40.581,255,255,255,2283.784,576.577
383,,40.581,255,255,255,5220.721,574.324
384,,40.581,255,255,255,5234.234,574.324
385,,20.291,255,255,255,6722.973,574.324
386,,40.581,255,255,255,2828.829,578.829
387,,20.291,255,255,255,6731.982,578.829
388,,20.291,255,255,255,2272.523,583.333
389,,40.581,255,255,255,6743.243,585.586
390,,20.291,255,255,255,2263.514,587.838
391,,40.581,255,255,255,4337.838,587.838
392,,40.581,255,255,255,2252.252,594.595
393,,20.291,255,255,255,6754.505,592.342
394,,60.872,255,255,255,2826.577,596.847
395,,40.581,255,255,255,4711.712,596.847
396,,40.581,255,255,255,5288.288,596.847
397,,20.291,255,255,255,6763.514,596.847
398,,20.291,255,255,255,2240.991,601.351
399,,81.162,255,255,255,2963.964,603.604
400,,40.581,255,255,255,3315.315,601.351
401,,142.034,255,255,255,5337.516,606.499
402,,40.581,255,255,255,6774.775,603.604
403,,40.581,255,255,255,2229.730,608.108
404,,20.291,255,255,255,2349.099,610.360
405,,20.291,255,255,255,6786.036,610.360
406,,20.291,255,255,255,2218.468,614.865
407,,162.324,255,255,255,5127.252,619.369
408,,40.581,255,255,255,6797.297,617.117
409,,40.581,255,255,255,2207.207,621.622
410,,40.581,255,255,255,4454.955,619.369
411,,202.906,255,255,255,4558.559,624.775
412,,40.581,255,255,255,4765.766,619.369
413,,101.453,255,255,255,6541.892,631.982
414,,20.291,255,255,255,6808.559,623.874
415,,20.291,255,255,255,2195.946,628.378
416,,40.581,255,255,255,6819.820,630.631
417,,40.581,255,255,255,2184.685,635.135
418,,40.581,255,255,255,3265.766,632.883
419,,40.581,255,255,255,4495.495,637.387
420,,20.291,255,255,255,6831.081,637.387
